ts,total,critical,important,normal
2026-03-17T15:48:46.434523900+00:00,2,1,1,0
2026-03-17T15:50:00.745383600+00:00,64,49,15,0
2026-03-17T15:50:00.807545600+00:00,64,49,15,0
2026-03-17T15:50:00.854963700+00:00,64,0,64,0
2026-03-17T15:50:00.901536100+00:00,64,1,63,0
2026-03-17T15:50:00.951609100+00:00,64,0,64,0
2026-03-17T15:50:00.997411600+00:00,64,1,63,0
2026-03-17T15:50:01.045853500+00:00,64,0,64,0
2026-03-17T15:50:01.107096800+00:00,64,1,63,0
2026-03-17T15:50:01.154760700+00:00,64,0,64,0
2026-03-17T15:50:01.195873900+00:00,14,1,10,3
2026-03-17T15:50:01.240736900+00:00,1,0,1,0
2026-03-17T15:50:01.289039900+00:00,2,1,1,0
2026-03-17T15:50:01.335963800+00:00,1,0,1,0
2026-03-17T15:50:01.398480800+00:00,3,1,1,1
2026-03-17T15:50:01.447170200+00:00,1,0,1,0
2026-03-17T15:50:01.493292800+00:00,2,1,1,0
2026-03-17T15:50:05.736597100+00:00,1,0,1,0
2026-03-17T15:50:05.793669300+00:00,64,41,23,0
2026-03-17T15:50:05.857602300+00:00,64,1,63,0
2026-03-17T15:50:05.900103500+00:00,23,0,1,22
2026-03-17T15:50:05.942179400+00:00,2,1,1,0
2026-03-17T15:50:05.990161500+00:00,1,0,1,0
2026-03-17T15:50:06.038586300+00:00,3,1,1,1
2026-03-17T15:50:06.086066+00:00,1,0,1,0
2026-03-17T15:50:06.133800200+00:00,2,1,1,0
2026-03-17T15:50:06.196435800+00:00,1,0,1,0
2026-03-17T15:50:06.244695700+00:00,3,1,1,1
2026-03-17T15:50:06.293047500+00:00,1,0,1,0
2026-03-17T15:50:06.340827500+00:00,2,1,1,0
2026-03-17T15:50:06.386289500+00:00,1,0,1,0
2026-03-17T15:50:06.448844700+00:00,3,1,1,1
2026-03-17T15:50:06.495771400+00:00,1,0,1,0
2026-03-17T15:50:10.739613400+00:00,2,1,1,0
2026-03-17T15:50:10.797165800+00:00,64,41,23,0
2026-03-17T15:50:10.860873600+00:00,64,1,63,0
2026-03-17T15:50:10.899241100+00:00,23,0,1,22
2026-03-17T15:50:10.943539600+00:00,2,1,1,0
2026-03-17T15:50:10.991251100+00:00,1,0,1,0
2026-03-17T15:50:11.039206300+00:00,3,1,1,1
2026-03-17T15:50:11.084766900+00:00,1,0,1,0
2026-03-17T15:50:11.145899400+00:00,2,1,1,0
2026-03-17T15:50:11.193692100+00:00,1,0,1,0
2026-03-17T15:50:11.239424800+00:00,3,1,1,1
2026-03-17T15:50:11.286892100+00:00,1,0,1,0
2026-03-17T15:50:11.348929500+00:00,2,1,1,0
2026-03-17T15:50:11.396443900+00:00,1,0,1,0
2026-03-17T15:50:11.444132100+00:00,3,1,1,1
2026-03-17T15:50:11.488542500+00:00,1,0,1,0
2026-03-17T15:50:11.536661+00:00,2,1,1,0
2026-03-17T15:50:15.737884400+00:00,1,0,1,0
2026-03-17T15:50:15.793309600+00:00,64,42,22,0
2026-03-17T15:50:15.855617500+00:00,64,1,63,0
2026-03-17T15:50:15.895512800+00:00,23,0,1,22
2026-03-17T15:50:15.939298100+00:00,2,1,1,0
2026-03-17T15:50:15.987261200+00:00,1,0,1,0
2026-03-17T15:50:16.033596800+00:00,3,1,1,1
2026-03-17T15:50:16.096130+00:00,1,0,1,0
2026-03-17T15:50:16.142262200+00:00,2,1,1,0
2026-03-17T15:50:16.189224900+00:00,1,0,1,0
2026-03-17T15:50:16.237379500+00:00,3,1,1,1
2026-03-17T15:50:16.283122+00:00,1,0,1,0
2026-03-17T15:50:16.345644300+00:00,2,1,1,0
2026-03-17T15:50:16.393215100+00:00,1,0,1,0
2026-03-17T15:50:16.439331600+00:00,3,1,1,1
2026-03-17T15:50:16.487153500+00:00,1,0,1,0
2026-03-17T15:50:16.534535900+00:00,2,1,1,0
