ts,task,seq,start_delay_ms,completion_delay_ms,runtime_ms,preemptions,deadline_ms
2026-02-20T05:03:57.384469700+00:00,antenna_alignment,83,1653.422,1719.224,3.000,0,50.000
2026-02-20T05:03:57.446053700+00:00,antenna_alignment,84,1669.767,1730.807,3.000,0,50.000
2026-02-20T05:03:57.512906600+00:00,antenna_alignment,85,1681.233,1747.661,3.000,0,50.000
2026-02-20T05:03:57.564890300+00:00,antenna_alignment,86,1698.076,1749.645,3.000,0,50.000
2026-02-20T05:03:57.648232600+00:00,antenna_alignment,87,1700.425,1782.960,3.000,0,50.000
2026-02-20T05:03:57.715035400+00:00,antenna_alignment,88,1733.698,1799.790,3.000,0,50.000
2026-02-20T05:03:57.765732700+00:00,antenna_alignment,89,1750.997,1800.487,3.000,0,50.000
2026-02-20T05:03:57.814463+00:00,antenna_alignment,90,1751.318,1799.218,3.000,0,50.000
2026-02-20T05:03:57.898771200+00:00,antenna_alignment,91,1749.777,1833.525,3.000,0,50.000
2026-02-20T05:03:57.969186500+00:00,antenna_alignment,92,1783.937,1853.940,3.000,0,50.000
2026-02-20T05:03:58.047733200+00:00,antenna_alignment,93,1804.561,1882.486,3.000,0,50.000
2026-02-20T05:03:58.115544+00:00,antenna_alignment,94,1833.425,1900.298,3.000,0,50.000
2026-02-20T05:03:58.181616700+00:00,antenna_alignment,95,1850.756,1916.371,3.000,0,50.000
2026-02-20T05:03:58.262461500+00:00,antenna_alignment,96,1867.388,1947.215,3.000,0,50.000
2026-02-20T05:03:58.346014100+00:00,antenna_alignment,97,1897.864,1980.767,3.000,0,50.000
2026-02-20T05:03:58.415426100+00:00,antenna_alignment,98,1931.462,2000.181,3.000,0,50.000
2026-02-20T05:03:58.496118500+00:00,antenna_alignment,99,1951.338,2030.871,3.000,0,50.000
2026-02-20T05:03:58.584466100+00:00,antenna_alignment,100,1981.759,2069.218,3.000,0,50.000
2026-02-20T05:03:58.636045600+00:00,antenna_alignment,101,2019.979,2070.800,3.000,0,50.000
2026-02-20T05:03:58.729584100+00:00,antenna_alignment,102,2021.220,2114.338,3.000,0,50.000
2026-02-20T05:03:58.784114400+00:00,antenna_alignment,103,2065.273,2118.869,3.000,0,50.000
2026-02-20T05:03:58.862636300+00:00,antenna_alignment,104,2069.376,2147.390,3.000,0,50.000
2026-02-20T05:03:58.929623400+00:00,antenna_alignment,105,2098.056,2164.378,3.000,0,50.000
2026-02-20T05:03:58.989215500+00:00,antenna_alignment,106,2114.905,2173.969,3.000,0,50.000
2026-02-20T05:03:59.045858100+00:00,antenna_alignment,107,2124.787,2180.612,3.000,0,50.000
2026-02-20T05:03:59.097904300+00:00,antenna_alignment,108,2131.347,2182.657,3.000,0,50.000
2026-02-20T05:03:59.151042600+00:00,antenna_alignment,109,2133.330,2185.797,3.000,0,50.000
2026-02-20T05:03:59.231605900+00:00,antenna_alignment,110,2136.679,2216.361,3.000,0,50.000
2026-02-20T05:03:59.312615100+00:00,antenna_alignment,111,2166.839,2247.369,3.000,0,50.000
2026-02-20T05:03:59.362188400+00:00,antenna_alignment,112,2198.222,2246.943,3.000,0,50.000
2026-02-20T05:03:59.417309800+00:00,antenna_alignment,113,2197.599,2252.065,3.000,0,50.000
2026-02-20T05:03:59.479350800+00:00,antenna_alignment,114,2203.075,2264.105,3.000,0,50.000
2026-02-20T05:03:59.550973900+00:00,antenna_alignment,115,2214.757,2285.728,3.000,0,50.000
2026-02-20T05:03:59.613926200+00:00,antenna_alignment,116,2236.172,2298.679,3.000,0,50.000
2026-02-20T05:03:59.696117300+00:00,antenna_alignment,117,2249.339,2330.872,3.000,0,50.000
2026-02-20T05:03:59.779620600+00:00,antenna_alignment,118,2281.560,2364.374,3.000,0,50.000
2026-02-20T05:03:59.834354400+00:00,antenna_alignment,119,2315.069,2369.108,3.000,0,50.000
2026-02-20T05:03:59.914408+00:00,antenna_alignment,120,2319.783,2399.162,3.000,0,50.000
2026-02-20T05:03:59.967803600+00:00,antenna_alignment,121,2350.514,2402.558,3.000,0,50.000
2026-02-20T05:04:00.045926700+00:00,antenna_alignment,122,2353.474,2430.680,3.000,0,50.000
2026-02-20T05:04:00.097934500+00:00,antenna_alignment,123,2381.391,2432.688,3.000,0,50.000
2026-02-20T05:04:00.162639100+00:00,antenna_alignment,124,2383.417,2447.392,3.000,0,50.000
2026-02-20T05:04:00.218052700+00:00,antenna_alignment,125,2398.004,2452.806,3.000,0,50.000
2026-02-20T05:04:00.295772800+00:00,antenna_alignment,126,2403.546,2480.527,3.000,0,50.000
2026-02-20T05:04:00.368991+00:00,antenna_alignment,127,2431.090,2503.745,3.000,0,50.000
2026-02-20T05:04:00.445847900+00:00,antenna_alignment,128,2454.340,2530.602,3.000,0,50.000
2026-02-20T05:04:00.511397900+00:00,antenna_alignment,129,2481.171,2546.151,3.000,0,50.000
2026-02-20T05:04:00.580954500+00:00,antenna_alignment,130,2497.121,2565.708,3.000,0,50.000
2026-02-20T05:04:00.648066500+00:00,antenna_alignment,131,2516.628,2582.821,3.000,0,50.000
2026-02-20T05:04:00.714101200+00:00,antenna_alignment,132,2533.786,2598.855,3.000,0,50.000
2026-02-20T05:04:00.779367200+00:00,antenna_alignment,133,2549.293,2614.122,3.000,0,50.000
2026-02-20T05:04:00.832312200+00:00,antenna_alignment,134,2564.638,2617.065,3.000,0,50.000
2026-02-20T05:04:00.882160+00:00,antenna_alignment,135,2568.410,2616.913,3.000,0,50.000
