ts,priority,dropped_count
2026-03-17T17:17:37.465841300+00:00,normal,1
2026-03-17T17:17:37.466153900+00:00,normal,1
2026-03-17T17:17:37.473018900+00:00,normal,1
2026-03-17T17:17:37.523478400+00:00,normal,1
2026-03-17T17:17:37.565831900+00:00,normal,1
2026-03-17T17:17:37.573386500+00:00,normal,1
2026-03-17T17:17:37.623519200+00:00,normal,1
2026-03-17T17:17:37.665675500+00:00,normal,1
2026-03-17T17:17:37.666207900+00:00,normal,1
2026-03-17T17:17:37.673462500+00:00,normal,1
2026-03-17T17:17:37.723627200+00:00,normal,1
2026-03-17T17:17:37.765852500+00:00,normal,1
2026-03-17T17:17:37.773455300+00:00,normal,1
2026-03-17T17:17:37.823574400+00:00,normal,1
2026-03-17T17:17:37.865851600+00:00,normal,1
2026-03-17T17:17:37.866253800+00:00,normal,1
2026-03-17T17:17:37.873513200+00:00,normal,1
2026-03-17T17:17:37.923443200+00:00,normal,1
2026-03-17T17:17:37.965677400+00:00,normal,1
2026-03-17T17:17:37.973635800+00:00,normal,1
2026-03-17T17:17:38.023663+00:00,normal,1
2026-03-17T17:17:38.065993600+00:00,normal,1
2026-03-17T17:17:38.066337500+00:00,normal,1
2026-03-17T17:17:38.073691900+00:00,normal,1
2026-03-17T17:17:38.123620+00:00,normal,1
2026-03-17T17:17:38.166033700+00:00,normal,1
2026-03-17T17:17:38.173783600+00:00,normal,1
2026-03-17T17:17:38.223616600+00:00,normal,1
2026-03-17T17:17:38.265987400+00:00,normal,1
2026-03-17T17:17:38.266183700+00:00,normal,1
2026-03-17T17:17:38.273834100+00:00,normal,1
2026-03-17T17:17:38.323583800+00:00,normal,1
2026-03-17T17:17:38.365856900+00:00,normal,1
2026-03-17T17:17:38.373736700+00:00,normal,1
2026-03-17T17:17:38.423681900+00:00,normal,1
2026-03-17T17:17:38.465804200+00:00,normal,1
2026-03-17T17:17:38.466143600+00:00,normal,1
2026-03-17T17:17:38.473880700+00:00,normal,1
2026-03-17T17:17:38.523713900+00:00,normal,1
2026-03-17T17:17:38.565956600+00:00,normal,1
2026-03-17T17:17:38.573589400+00:00,normal,1
2026-03-17T17:17:38.623738100+00:00,normal,1
2026-03-17T17:17:38.665906900+00:00,normal,1
2026-03-17T17:17:38.666297500+00:00,normal,1
2026-03-17T17:17:38.673600500+00:00,normal,1
2026-03-17T17:17:38.723835500+00:00,normal,1
2026-03-17T17:17:38.766076+00:00,normal,1
2026-03-17T17:17:38.773612+00:00,normal,1
2026-03-17T17:17:38.823746200+00:00,normal,1
2026-03-17T17:17:38.865684800+00:00,normal,1
2026-03-17T17:17:38.866124500+00:00,normal,1
2026-03-17T17:17:38.873601100+00:00,normal,1
2026-03-17T17:17:38.923620900+00:00,normal,1
2026-03-17T17:17:38.966132300+00:00,normal,1
2026-03-17T17:17:38.973673500+00:00,normal,1
2026-03-17T17:17:39.023583200+00:00,normal,1
2026-03-17T17:17:39.065813700+00:00,normal,1
2026-03-17T17:17:39.066195+00:00,normal,1
2026-03-17T17:17:39.073743700+00:00,normal,1
2026-03-17T17:17:39.123612400+00:00,normal,1
2026-03-17T17:17:39.165925300+00:00,normal,1
2026-03-17T17:17:39.174311700+00:00,normal,1
2026-03-17T17:17:39.223672200+00:00,normal,1
2026-03-17T17:17:39.266232600+00:00,normal,1
2026-03-17T17:17:39.266296600+00:00,normal,1
2026-03-17T17:17:39.273569800+00:00,normal,1
2026-03-17T17:17:39.323624500+00:00,normal,1
2026-03-17T17:17:39.365898500+00:00,normal,1
2026-03-17T17:17:39.373752800+00:00,normal,1
2026-03-17T17:17:39.423624200+00:00,normal,1
2026-03-17T17:17:39.466833500+00:00,normal,1
2026-03-17T17:17:39.466887300+00:00,normal,1
2026-03-17T17:17:39.473668800+00:00,normal,1
2026-03-17T17:17:39.523672300+00:00,normal,1
2026-03-17T17:17:39.566109700+00:00,normal,1
2026-03-17T17:17:39.576320200+00:00,normal,1
2026-03-17T17:17:39.623627400+00:00,normal,1
2026-03-17T17:17:39.666281500+00:00,normal,1
2026-03-17T17:17:39.666345900+00:00,normal,1
2026-03-17T17:17:39.673612100+00:00,normal,1
2026-03-17T17:17:39.723669400+00:00,normal,1
2026-03-17T17:17:41.574251500+00:00,normal,1
2026-03-17T17:17:41.624146900+00:00,normal,1
2026-03-17T17:17:41.665993500+00:00,normal,1
2026-03-17T17:17:41.666328500+00:00,normal,1
2026-03-17T17:17:41.674200800+00:00,normal,1
2026-03-17T17:17:41.724089700+00:00,normal,1
2026-03-17T17:17:41.765832100+00:00,normal,1
2026-03-17T17:17:41.774593100+00:00,normal,1
2026-03-17T17:17:41.824173600+00:00,normal,1
2026-03-17T17:17:41.866191300+00:00,normal,1
2026-03-17T17:17:41.866296200+00:00,normal,1
2026-03-17T17:17:41.874331300+00:00,normal,1
2026-03-17T17:17:41.924173700+00:00,normal,1
2026-03-17T17:17:41.965804700+00:00,normal,1
2026-03-17T17:17:41.974074400+00:00,normal,1
2026-03-17T17:17:42.024149200+00:00,normal,1
2026-03-17T17:17:42.065970500+00:00,normal,1
2026-03-17T17:17:42.066204300+00:00,normal,1
2026-03-17T17:17:42.074142900+00:00,normal,1
2026-03-17T17:17:42.124095500+00:00,normal,1
2026-03-17T17:17:42.166009800+00:00,normal,1
2026-03-17T17:17:42.174217700+00:00,normal,1
2026-03-17T17:17:42.224108200+00:00,normal,1
2026-03-17T17:17:42.265970100+00:00,normal,1
2026-03-17T17:17:42.266185900+00:00,normal,1
2026-03-17T17:17:42.274118700+00:00,normal,1
2026-03-17T17:17:42.324127500+00:00,normal,1
2026-03-17T17:17:42.366066100+00:00,normal,1
2026-03-17T17:17:42.374278100+00:00,normal,1
2026-03-17T17:17:42.424155900+00:00,normal,1
2026-03-17T17:17:42.466339200+00:00,normal,1
2026-03-17T17:17:42.466540400+00:00,normal,1
2026-03-17T17:17:42.474105+00:00,normal,1
2026-03-17T17:17:42.524162+00:00,normal,1
2026-03-17T17:17:42.566036600+00:00,normal,1
2026-03-17T17:17:42.574593500+00:00,normal,1
2026-03-17T17:17:42.624112900+00:00,normal,1
2026-03-17T17:17:42.666161100+00:00,normal,1
2026-03-17T17:17:42.666358700+00:00,normal,1
2026-03-17T17:17:42.674126300+00:00,normal,1
2026-03-17T17:17:42.724105300+00:00,normal,1
2026-03-17T17:17:42.765954300+00:00,normal,1
2026-03-17T17:17:42.774278300+00:00,normal,1
2026-03-17T17:17:42.824305400+00:00,normal,1
2026-03-17T17:17:42.865956900+00:00,normal,1
2026-03-17T17:17:42.866225900+00:00,normal,1
2026-03-17T17:17:42.874242600+00:00,normal,1
2026-03-17T17:17:42.924324200+00:00,normal,1
2026-03-17T17:17:42.966014600+00:00,normal,1
2026-03-17T17:17:42.974527500+00:00,normal,1
2026-03-17T17:17:43.024239800+00:00,normal,1
2026-03-17T17:17:43.065877800+00:00,normal,1
2026-03-17T17:17:43.066202200+00:00,normal,1
2026-03-17T17:17:43.074211200+00:00,normal,1
2026-03-17T17:17:43.124268800+00:00,normal,1
2026-03-17T17:17:43.165873800+00:00,normal,1
2026-03-17T17:17:43.174388200+00:00,normal,1
2026-03-17T17:17:43.224197500+00:00,normal,1
2026-03-17T17:17:43.266025300+00:00,normal,1
2026-03-17T17:17:43.266236800+00:00,normal,1
2026-03-17T17:17:43.274257900+00:00,normal,1
2026-03-17T17:17:43.324271100+00:00,normal,1
2026-03-17T17:17:43.366330600+00:00,normal,1
2026-03-17T17:17:43.374404200+00:00,normal,1
2026-03-17T17:17:43.424256500+00:00,normal,1
2026-03-17T17:17:43.466333700+00:00,normal,1
2026-03-17T17:17:43.466635+00:00,normal,1
2026-03-17T17:17:43.475542900+00:00,normal,1
2026-03-17T17:17:43.524336300+00:00,normal,1
2026-03-17T17:17:43.566063500+00:00,normal,1
2026-03-17T17:17:43.574260+00:00,normal,1
2026-03-17T17:17:43.624204200+00:00,normal,1
2026-03-17T17:17:43.665799300+00:00,normal,1
2026-03-17T17:17:43.666236+00:00,normal,1
2026-03-17T17:17:43.674459200+00:00,normal,1
2026-03-17T17:17:43.725877+00:00,normal,1
2026-03-17T17:17:43.765859800+00:00,normal,1
2026-03-17T17:17:43.775781700+00:00,normal,1
2026-03-17T17:17:43.825796900+00:00,normal,1
2026-03-17T17:17:43.865865700+00:00,normal,1
2026-03-17T17:17:43.866368500+00:00,normal,1
2026-03-17T17:17:43.875759700+00:00,normal,1
2026-03-17T17:17:43.926226500+00:00,normal,1
2026-03-17T17:17:43.965847+00:00,normal,1
