ts,oldest_ms,fill_pct
2026-03-14T16:07:53.868189500+00:00,6654.622,48.6
2026-03-14T16:07:53.915084500+00:00,6701.512,49.0
2026-03-14T16:07:53.962812900+00:00,6749.242,49.4
2026-03-14T16:07:54.008529700+00:00,6794.948,49.6
2026-03-14T16:07:54.071116+00:00,6857.544,49.8
2026-03-14T16:07:54.117704800+00:00,6904.135,50.2
2026-03-14T16:07:54.164175300+00:00,6950.598,50.6
2026-03-14T16:07:54.211204900+00:00,6997.608,50.8
2026-03-14T16:07:54.258633200+00:00,7045.067,51.0
2026-03-14T16:07:54.321920100+00:00,7108.354,51.2
2026-03-14T16:07:54.369808500+00:00,7156.239,51.8
2026-03-14T16:07:54.417923100+00:00,7204.338,52.0
2026-03-14T16:07:54.463821600+00:00,7250.247,52.3
2026-03-14T16:07:54.510664300+00:00,7297.098,52.3
2026-03-14T16:07:54.558124900+00:00,7344.544,52.7
2026-03-14T16:07:54.620143700+00:00,7406.569,53.1
2026-03-14T16:07:54.666517900+00:00,7452.935,53.5
2026-03-14T16:07:54.712101800+00:00,7498.539,53.7
2026-03-14T16:07:54.758460100+00:00,7544.850,53.7
2026-03-14T16:07:54.819982700+00:00,7606.407,54.3
2026-03-14T16:07:54.866807800+00:00,7653.207,54.5
2026-03-14T16:07:54.913779500+00:00,7700.204,54.9
2026-03-14T16:07:54.961622700+00:00,7748.052,55.1
2026-03-14T16:07:55.008197300+00:00,7794.620,55.5
2026-03-14T16:07:55.070229900+00:00,7856.660,55.7
2026-03-14T16:07:55.117551+00:00,7903.960,56.1
2026-03-14T16:07:55.163924500+00:00,7950.354,56.2
2026-03-14T16:07:55.209563300+00:00,7995.988,56.8
2026-03-14T16:07:55.270161600+00:00,8056.577,57.0
2026-03-14T16:07:55.316825+00:00,8103.224,57.2
2026-03-14T16:07:55.364227400+00:00,8150.656,57.4
2026-03-14T16:07:55.409870500+00:00,8196.298,57.8
2026-03-14T16:07:55.470696600+00:00,8257.125,58.2
2026-03-14T16:07:55.518285600+00:00,8304.715,58.4
2026-03-14T16:07:55.565339200+00:00,8351.774,58.6
2026-03-14T16:07:55.612876600+00:00,8399.300,59.0
2026-03-14T16:07:55.660198700+00:00,8446.625,59.4
2026-03-14T16:07:55.723595200+00:00,8509.979,59.6
2026-03-14T16:07:55.771137400+00:00,8557.518,60.0
2026-03-14T16:07:55.818045400+00:00,8604.475,60.2
2026-03-14T16:07:55.863953400+00:00,8650.385,60.5
2026-03-14T16:07:55.910079900+00:00,8696.504,60.7
2026-03-14T16:07:55.958546800+00:00,8744.968,60.9
2026-03-14T16:07:56.020687700+00:00,8807.089,61.5
2026-03-14T16:07:56.067635400+00:00,8854.049,61.5
2026-03-14T16:07:56.115007200+00:00,8901.427,61.9
2026-03-14T16:07:56.162081800+00:00,8948.504,62.1
2026-03-14T16:07:56.208212500+00:00,8994.647,62.7
2026-03-14T16:07:56.269857500+00:00,9056.296,62.9
2026-03-14T16:07:56.316632500+00:00,9103.040,63.1
2026-03-14T16:07:56.362106+00:00,9148.531,63.3
