ts,total,critical,important,normal
2026-03-18T08:03:48.157684300+00:00,1,0,1,0
2026-03-18T08:03:52.386957600+00:00,1,0,1,0
2026-03-18T08:03:52.389182900+00:00,64,0,64,0
2026-03-18T08:03:52.390618300+00:00,64,0,19,45
2026-03-18T08:03:52.391788700+00:00,18,0,0,18
2026-03-18T08:03:52.417846+00:00,1,0,1,0
2026-03-18T08:03:52.463516400+00:00,2,0,1,1
2026-03-18T08:03:52.511089600+00:00,1,0,1,0
2026-03-18T08:03:52.551721500+00:00,2,0,0,2
2026-03-18T08:03:52.557672700+00:00,1,0,1,0
2026-03-18T08:03:52.620360700+00:00,1,0,1,0
2026-03-18T08:03:52.652080100+00:00,1,0,0,1
2026-03-18T08:03:52.659761+00:00,1,0,1,0
2026-03-18T08:03:52.715558600+00:00,1,0,1,0
2026-03-18T08:03:52.751725700+00:00,2,0,0,2
2026-03-18T08:03:52.759851900+00:00,1,0,1,0
2026-03-18T08:03:52.809022+00:00,1,0,1,0
2026-03-18T08:03:52.852114100+00:00,1,0,0,1
2026-03-18T08:03:52.857936500+00:00,1,0,1,0
2026-03-18T08:03:52.907974900+00:00,1,0,1,0
2026-03-18T08:03:52.951789800+00:00,2,0,0,2
2026-03-18T08:03:52.957670400+00:00,1,0,1,0
2026-03-18T08:03:53.008018700+00:00,1,0,1,0
2026-03-18T08:03:53.051914900+00:00,1,0,0,1
2026-03-18T08:03:53.059744500+00:00,1,0,1,0
2026-03-18T08:03:53.122382900+00:00,1,0,1,0
2026-03-18T08:03:53.151814500+00:00,2,0,0,2
2026-03-18T08:03:53.157666200+00:00,1,0,1,0
2026-03-18T08:03:57.387094200+00:00,1,0,1,0
2026-03-18T08:03:57.388165+00:00,64,0,64,0
2026-03-18T08:03:57.389137300+00:00,64,0,19,45
2026-03-18T08:03:57.389851100+00:00,18,0,0,18
2026-03-18T08:03:57.418522500+00:00,1,0,1,0
2026-03-18T08:03:57.451916+00:00,1,0,0,1
2026-03-18T08:03:57.459709300+00:00,1,0,1,0
2026-03-18T08:03:57.513711400+00:00,1,0,1,0
2026-03-18T08:03:57.552034300+00:00,2,0,0,2
2026-03-18T08:03:57.559721200+00:00,1,0,1,0
2026-03-18T08:03:57.621831600+00:00,1,0,1,0
2026-03-18T08:03:57.651761400+00:00,1,0,0,1
2026-03-18T08:03:57.659668800+00:00,1,0,1,0
2026-03-18T08:03:57.716161300+00:00,1,0,1,0
2026-03-18T08:03:57.752037600+00:00,2,0,0,2
2026-03-18T08:03:57.759661100+00:00,1,0,1,0
2026-03-18T08:03:57.825534600+00:00,1,0,1,0
2026-03-18T08:03:57.851762900+00:00,1,0,0,1
2026-03-18T08:03:57.859671900+00:00,1,0,1,0
2026-03-18T08:03:57.921449+00:00,1,0,1,0
2026-03-18T08:03:57.951706200+00:00,2,0,0,2
2026-03-18T08:03:57.959728600+00:00,1,0,1,0
2026-03-18T08:03:58.016150100+00:00,1,0,1,0
2026-03-18T08:03:58.051693200+00:00,1,0,0,1
2026-03-18T08:03:58.059701800+00:00,1,0,1,0
2026-03-18T08:03:58.112472700+00:00,1,0,1,0
2026-03-18T08:03:58.151705+00:00,2,0,0,2
2026-03-18T08:03:58.160068300+00:00,1,0,1,0
2026-03-18T08:04:02.397006100+00:00,1,0,1,0
2026-03-18T08:04:02.398685600+00:00,64,0,64,0
2026-03-18T08:04:02.400+00:00,64,0,19,45
2026-03-18T08:04:02.400670300+00:00,18,0,0,18
2026-03-18T08:04:02.411807100+00:00,1,0,1,0
2026-03-18T08:04:02.451813600+00:00,1,0,0,1
2026-03-18T08:04:02.474547800+00:00,1,0,1,0
2026-03-18T08:04:02.522135700+00:00,1,0,1,0
2026-03-18T08:04:02.552684800+00:00,1,0,0,1
2026-03-18T08:04:02.553750200+00:00,1,0,0,1
2026-03-18T08:04:02.559885300+00:00,1,0,1,0
2026-03-18T08:04:02.616045100+00:00,1,0,1,0
2026-03-18T08:04:02.651906700+00:00,1,0,0,1
2026-03-18T08:04:02.659728700+00:00,1,0,1,0
2026-03-18T08:04:02.709988100+00:00,1,0,1,0
2026-03-18T08:04:02.752132800+00:00,2,0,0,2
2026-03-18T08:04:02.771714100+00:00,1,0,1,0
2026-03-18T08:04:02.819194300+00:00,1,0,1,0
2026-03-18T08:04:02.851726400+00:00,1,0,0,1
2026-03-18T08:04:02.859729600+00:00,1,0,1,0
2026-03-18T08:04:02.914257900+00:00,1,0,1,0
2026-03-18T08:04:02.951740600+00:00,2,0,0,2
2026-03-18T08:04:02.961579400+00:00,1,0,1,0
2026-03-18T08:04:03.025200900+00:00,1,0,1,0
2026-03-18T08:04:03.051862100+00:00,1,0,0,1
2026-03-18T08:04:03.059677400+00:00,1,0,1,0
2026-03-18T08:04:03.121454700+00:00,1,0,1,0
2026-03-18T08:04:03.151880600+00:00,2,0,0,2
2026-03-18T08:04:03.159765200+00:00,1,0,1,0
2026-03-18T08:04:07.407963500+00:00,1,0,1,0
2026-03-18T08:04:07.409562300+00:00,64,0,64,0
2026-03-18T08:04:07.410973700+00:00,64,0,20,44
2026-03-18T08:04:07.411670400+00:00,19,0,0,19
2026-03-18T08:04:07.451094200+00:00,1,0,0,1
2026-03-18T08:04:07.471838900+00:00,1,0,1,0
2026-03-18T08:04:07.518364200+00:00,1,0,1,0
