ts,sensor,seq,jitter_ms,drift_ms,processing_latency_ms,priority,status
2025-09-05T17:52:23.134843+00:00,power,35,0.339,-0.339,0.000,normal,normal
2025-09-05T17:52:23.134837+00:00,thermal,70,1.004,-1.004,0.000,important,warning
2025-09-05T17:52:23.185535+00:00,thermal,71,0.699,0.699,0.000,important,warning
2025-09-05T17:52:23.235761+00:00,thermal,72,0.224,0.224,0.000,important,warning
2025-09-05T17:52:23.235778+00:00,power,36,0.934,0.934,0.000,normal,normal
2025-09-05T17:52:23.235848+00:00,attitude,18,0.601,0.601,0.000,normal,normal
2025-09-05T17:52:23.284768+00:00,thermal,73,0.991,-0.991,0.000,important,warning
2025-09-05T17:52:23.335195+00:00,thermal,74,0.424,0.424,0.000,important,warning
2025-09-05T17:52:23.335225+00:00,power,37,0.553,-0.553,0.000,normal,normal
2025-09-05T17:52:23.385903+00:00,thermal,75,0.709,0.709,0.000,important,warning
2025-09-05T17:52:23.435947+00:00,thermal,76,0.044,0.044,0.000,important,warning
2025-09-05T17:52:23.435971+00:00,power,38,0.747,0.747,0.000,normal,normal
2025-09-05T17:52:23.436029+00:00,attitude,19,0.192,0.192,0.000,normal,normal
2025-09-05T17:52:23.485012+00:00,thermal,77,0.932,-0.932,0.000,important,warning
2025-09-05T17:52:23.535037+00:00,thermal,78,0.019,0.019,0.000,important,warning
2025-09-05T17:52:23.535050+00:00,power,39,0.922,-0.922,0.000,normal,normal
2025-09-05T17:52:23.584718+00:00,thermal,79,0.313,-0.313,0.000,important,warning
2025-09-05T17:52:23.635810+00:00,thermal,80,1.092,1.092,0.000,important,warning
2025-09-05T17:52:23.635883+00:00,power,40,0.836,0.836,0.000,normal,normal
2025-09-05T17:52:23.635892+00:00,attitude,20,0.140,-0.140,0.000,normal,normal
2025-09-05T17:52:23.685763+00:00,thermal,81,0.054,-0.054,0.000,important,warning
2025-09-05T17:52:23.735232+00:00,thermal,82,0.525,-0.525,0.000,important,warning
2025-09-05T17:52:23.735262+00:00,power,41,0.622,-0.622,0.000,normal,normal
2025-09-05T17:52:23.785451+00:00,thermal,83,0.221,0.221,0.000,important,warning
2025-09-05T17:52:23.835406+00:00,thermal,84,0.047,-0.047,0.000,important,warning
2025-09-05T17:52:23.835434+00:00,power,42,0.172,0.172,0.000,normal,normal
2025-09-05T17:52:23.835487+00:00,attitude,21,0.400,-0.400,0.000,normal,normal
2025-09-05T17:52:23.884944+00:00,thermal,85,0.459,-0.459,0.000,important,warning
2025-09-05T17:52:23.935577+00:00,power,43,0.142,0.142,0.000,normal,normal
2025-09-05T17:52:23.935573+00:00,thermal,86,0.626,0.626,0.000,important,warning
2025-09-05T17:52:23.985033+00:00,thermal,87,0.543,-0.543,0.000,important,warning
2025-09-05T17:52:24.035119+00:00,thermal,88,0.089,0.089,0.000,important,warning
2025-09-05T17:52:24.035141+00:00,power,44,0.436,-0.436,0.000,normal,normal
2025-09-05T17:52:24.035195+00:00,attitude,22,0.287,-0.287,0.000,normal,normal
2025-09-05T17:52:24.085041+00:00,thermal,89,0.075,-0.075,0.000,important,warning
2025-09-05T17:52:24.135095+00:00,thermal,90,0.055,0.055,0.000,important,warning
2025-09-05T17:52:24.135105+00:00,power,45,0.036,-0.036,0.000,normal,normal
2025-09-05T17:52:24.185856+00:00,thermal,91,0.758,0.758,0.000,important,warning
2025-09-05T17:52:24.235719+00:00,power,46,0.616,0.616,0.000,normal,normal
2025-09-05T17:52:24.235701+00:00,thermal,92,0.155,-0.155,0.000,important,warning
2025-09-05T17:52:24.235783+00:00,attitude,23,0.581,0.581,0.000,normal,normal
2025-09-05T17:52:24.285088+00:00,thermal,93,0.610,-0.610,0.000,important,warning
2025-09-05T17:52:24.335349+00:00,power,47,0.371,-0.371,0.000,normal,normal
2025-09-05T17:52:24.335346+00:00,thermal,94,0.253,0.253,0.000,important,warning
2025-09-05T17:52:24.385547+00:00,thermal,95,0.214,0.214,0.000,important,warning
2025-09-05T17:52:24.434687+00:00,thermal,96,0.856,-0.856,0.000,important,warning
2025-09-05T17:52:24.434708+00:00,power,48,0.636,-0.636,0.000,normal,normal
2025-09-05T17:52:24.434728+00:00,attitude,24,0.999,-0.999,0.000,normal,normal
2025-09-05T17:52:24.485062+00:00,thermal,97,0.369,0.369,0.000,important,warning
2025-09-05T17:52:24.535940+00:00,thermal,98,0.881,0.881,0.000,important,warning
2025-09-05T17:52:24.535961+00:00,power,49,1.249,1.249,0.000,normal,normal
2025-09-05T17:52:24.585366+00:00,thermal,99,0.579,-0.579,0.000,important,warning
2025-09-05T17:52:24.635901+00:00,thermal,100,0.535,0.535,0.000,important,warning
2025-09-05T17:52:24.635925+00:00,power,50,0.034,-0.034,0.000,normal,normal
2025-09-05T17:52:24.635977+00:00,attitude,25,1.206,1.206,0.000,normal,normal
2025-09-05T17:52:24.685839+00:00,thermal,101,0.062,-0.062,0.000,important,warning
2025-09-05T17:52:24.735919+00:00,power,51,0.007,-0.007,0.000,normal,normal
2025-09-05T17:52:24.735912+00:00,thermal,102,0.072,0.072,0.000,important,warning
2025-09-05T17:52:24.785312+00:00,thermal,103,0.598,-0.598,0.000,important,warning
2025-09-05T17:52:24.835477+00:00,thermal,104,0.165,0.165,0.000,important,warning
2025-09-05T17:52:24.835505+00:00,power,52,0.415,-0.415,0.000,normal,normal
2025-09-05T17:52:24.835551+00:00,attitude,26,0.421,-0.421,0.000,normal,normal
2025-09-05T17:52:24.885647+00:00,thermal,105,0.168,0.168,0.000,important,warning
2025-09-05T17:52:24.936077+00:00,power,53,0.573,0.573,0.000,normal,normal
2025-09-05T17:52:24.936069+00:00,thermal,106,0.422,0.422,0.000,important,warning
2025-09-05T17:52:24.985042+00:00,thermal,107,1.026,-1.026,0.000,important,warning
2025-09-05T17:52:25.035392+00:00,thermal,108,0.351,0.351,0.000,important,warning
2025-09-05T17:52:25.035447+00:00,power,54,0.628,-0.628,0.000,normal,normal
2025-09-05T17:52:25.035472+00:00,attitude,27,0.087,-0.087,0.000,normal,normal
2025-09-05T17:52:25.085813+00:00,thermal,109,0.420,0.420,0.000,important,warning
2025-09-05T17:52:25.135334+00:00,thermal,110,0.484,-0.484,0.000,important,warning
2025-09-05T17:52:25.135341+00:00,power,55,0.106,-0.106,0.000,normal,normal
2025-09-05T17:52:25.184920+00:00,thermal,111,0.408,-0.408,0.000,important,warning
2025-09-05T17:52:25.234949+00:00,thermal,112,0.030,0.030,0.000,important,warning
2025-09-05T17:52:25.234976+00:00,power,56,0.367,-0.367,0.000,normal,normal
2025-09-05T17:52:25.235025+00:00,attitude,28,0.440,-0.440,0.000,normal,normal
2025-09-05T17:52:25.284952+00:00,thermal,113,0.003,0.003,0.000,important,warning
2025-09-05T17:52:25.334959+00:00,power,57,0.016,-0.016,0.000,normal,normal
2025-09-05T17:52:25.334953+00:00,thermal,114,0.002,-0.002,0.000,important,warning
2025-09-05T17:52:25.384925+00:00,thermal,115,0.026,-0.026,0.000,important,warning
2025-09-05T17:52:25.434861+00:00,thermal,116,0.063,-0.063,0.000,important,warning
2025-09-05T17:52:25.434894+00:00,power,58,0.067,-0.067,0.000,normal,normal
2025-09-05T17:52:25.434936+00:00,attitude,29,0.085,-0.085,0.000,normal,normal
2025-09-05T17:52:25.485878+00:00,thermal,117,1.017,1.017,0.000,important,warning
2025-09-05T17:52:25.534886+00:00,thermal,118,0.994,-0.994,0.000,important,warning
2025-09-05T17:52:25.534895+00:00,power,59,0.003,0.003,0.000,normal,normal
2025-09-05T17:52:25.585929+00:00,thermal,119,1.044,1.044,0.000,important,warning
2025-09-05T17:52:25.635284+00:00,thermal,120,0.644,-0.644,0.000,important,warning
2025-09-05T17:52:25.635306+00:00,power,60,0.411,0.411,0.000,normal,normal
2025-09-05T17:52:25.635351+00:00,attitude,30,0.416,0.416,0.000,normal,normal
2025-09-05T17:52:25.685309+00:00,thermal,121,0.024,0.024,0.000,important,warning
2025-09-05T17:52:25.735866+00:00,power,61,0.561,0.561,0.000,normal,normal
2025-09-05T17:52:25.735859+00:00,thermal,122,0.550,0.550,0.000,important,warning
2025-09-05T17:52:25.785486+00:00,thermal,123,0.372,-0.372,0.000,important,warning
2025-09-05T17:52:25.835316+00:00,thermal,124,0.170,-0.170,0.000,important,warning
2025-09-05T17:52:25.835345+00:00,power,62,0.523,-0.523,0.000,normal,normal
2025-09-05T17:52:25.835388+00:00,attitude,31,0.036,0.036,0.000,normal,normal
2025-09-05T17:52:25.885150+00:00,thermal,125,0.167,-0.167,0.000,important,warning
2025-09-05T17:52:25.935614+00:00,thermal,126,0.464,0.464,0.000,important,warning
2025-09-05T17:52:25.935623+00:00,power,63,0.279,0.279,0.000,normal,normal
2025-09-05T17:52:25.985818+00:00,thermal,127,0.203,0.203,0.000,important,warning
2025-09-05T17:52:26.035943+00:00,thermal,128,0.127,0.127,0.000,important,warning
2025-09-05T17:52:26.035973+00:00,power,64,0.351,0.351,0.000,normal,normal
2025-09-05T17:52:26.036015+00:00,attitude,32,0.628,0.628,0.000,normal,normal
2025-09-05T17:52:26.084827+00:00,thermal,129,1.115,-1.115,0.000,important,warning
2025-09-05T17:52:26.135216+00:00,thermal,130,0.389,0.389,0.000,important,warning
2025-09-05T17:52:26.135227+00:00,power,65,0.747,-0.747,0.000,normal,normal
2025-09-05T17:52:26.185825+00:00,thermal,131,0.607,0.607,0.000,important,warning
2025-09-05T17:52:26.234874+00:00,thermal,132,0.952,-0.952,0.000,important,warning
2025-09-05T17:52:26.234909+00:00,power,66,0.316,-0.316,0.000,normal,normal
2025-09-05T17:52:26.234987+00:00,attitude,33,1.068,-1.068,0.000,normal,normal
2025-09-05T17:52:26.284722+00:00,thermal,133,0.149,-0.149,0.000,important,warning
2025-09-05T17:52:26.335595+00:00,power,67,0.686,0.686,0.000,normal,normal
2025-09-05T17:52:26.335591+00:00,thermal,134,0.868,0.868,0.000,important,warning
2025-09-05T17:52:26.385221+00:00,thermal,135,0.369,-0.369,0.000,important,warning
2025-09-05T17:52:26.435424+00:00,thermal,136,0.201,0.201,0.000,important,warning
2025-09-05T17:52:26.435453+00:00,power,68,0.143,-0.143,0.000,normal,normal
2025-09-05T17:52:26.435500+00:00,attitude,34,0.550,0.550,0.000,normal,normal
