ts,event,fault_id,target,kind,duration_ms,component,recovery_ms,aborted,note
2026-03-18T14:03:56.019575200+00:00,inject,e96acf43-3d53-47da-8a7f-5152a402d180,power,corrupt,200,,,,
2026-03-18T14:03:56.272028700+00:00,recovery,e96acf43-3d53-47da-8a7f-5152a402d180,,,,power,45.4,false,
2026-03-18T14:04:56.022816200+00:00,inject,305bb26a-9199-4c98-8e02-c1aa038ec951,attitude,pause,150,,,,
2026-03-18T14:04:56.216400+00:00,recovery,305bb26a-9199-4c98-8e02-c1aa038ec951,,,,attitude,43.1,false,
2026-03-18T14:05:56.030422400+00:00,inject,92cb17ba-10df-4828-ab3d-227b15faaed7,thermal,delay,150,,,,
2026-03-18T14:05:56.228577+00:00,recovery,92cb17ba-10df-4828-ab3d-227b15faaed7,,,,thermal,47.3,false,
2026-03-18T14:06:56.031358700+00:00,inject,d90fa7e6-6519-4321-92be-606072fe662b,power,corrupt,200,,,,
2026-03-18T14:06:56.331690600+00:00,recovery,d90fa7e6-6519-4321-92be-606072fe662b,,,,power,91.1,false,
2026-03-18T14:07:56.031305600+00:00,inject,10534af8-02b5-4eae-88e1-be845c84b79c,attitude,pause,150,,,,
2026-03-18T14:07:56.333183100+00:00,recovery,10534af8-02b5-4eae-88e1-be845c84b79c,,,,attitude,149.8,false,
2026-03-18T14:08:56.041461+00:00,inject,1ca177e8-b26c-4e50-baf3-fa4020a5b165,thermal,delay,150,,,,
2026-03-18T14:08:56.192847300+00:00,recovery,1ca177e8-b26c-4e50-baf3-fa4020a5b165,,,,thermal,0.5,false,
2026-03-18T14:09:56.046176700+00:00,inject,b3701cd2-7bf0-414c-9b93-49bff5f82514,power,corrupt,200,,,,
2026-03-18T14:09:56.305031300+00:00,recovery,b3701cd2-7bf0-414c-9b93-49bff5f82514,,,,power,48.8,false,
2026-03-18T14:10:56.047128+00:00,inject,a2a2ab6e-bb56-4900-ae0c-b5967b8ed678,attitude,pause,150,,,,
2026-03-18T14:10:56.281473500+00:00,recovery,a2a2ab6e-bb56-4900-ae0c-b5967b8ed678,,,,attitude,78.1,false,
2026-03-18T14:18:32.021220300+00:00,inject,a851d91c-b567-4e4b-ae90-f5ce629a4008,power,corrupt,200,,,,
2026-03-18T14:18:32.314085+00:00,recovery,a851d91c-b567-4e4b-ae90-f5ce629a4008,,,,power,78.0,false,
2026-03-18T14:19:32.022210700+00:00,inject,d996f6aa-27ee-4b2a-b066-ccd42817aa14,attitude,pause,150,,,,
2026-03-18T14:19:32.303555400+00:00,recovery,d996f6aa-27ee-4b2a-b066-ccd42817aa14,,,,attitude,129.0,false,
2026-03-18T14:20:32.031082300+00:00,inject,b61d2b0d-f3c7-4dac-9b32-3cb4f7ea118e,thermal,delay,150,,,,
2026-03-18T14:20:32.197423400+00:00,recovery,b61d2b0d-f3c7-4dac-9b32-3cb4f7ea118e,,,,thermal,7.6,false,
2026-03-18T14:21:32.031980+00:00,inject,b757439f-65e7-46b2-afe6-2995c19eb319,power,corrupt,200,,,,
2026-03-18T14:21:32.254072200+00:00,recovery,b757439f-65e7-46b2-afe6-2995c19eb319,,,,power,15.9,false,
2026-03-18T14:22:32.033501+00:00,inject,190c37e7-a658-42f8-bf53-0b69ab1b2c04,attitude,pause,150,,,,
2026-03-18T14:22:32.334171200+00:00,recovery,190c37e7-a658-42f8-bf53-0b69ab1b2c04,,,,attitude,134.8,false,
2026-03-18T14:43:45.971797100+00:00,inject,8dba64a1-1ba8-4435-9644-563e5fb13a7f,power,corrupt,200,,,,
2026-03-18T14:43:46.269316900+00:00,recovery,8dba64a1-1ba8-4435-9644-563e5fb13a7f,,,,power,94.8,false,
2026-03-18T14:44:45.980101+00:00,inject,52a1c2e6-355b-44ad-9630-4e17c07e3756,attitude,pause,150,,,,
2026-03-18T14:44:46.144538800+00:00,recovery,52a1c2e6-355b-44ad-9630-4e17c07e3756,,,,attitude,13.7,false,
2026-03-18T14:45:45.987044+00:00,inject,8ec04bf0-f933-4f76-8344-e21926b1455e,thermal,delay,150,,,,
2026-03-18T14:45:46.181815700+00:00,recovery,8ec04bf0-f933-4f76-8344-e21926b1455e,,,,thermal,43.0,false,
2026-03-18T14:46:45.993318300+00:00,inject,1e91278c-8e9c-4977-9b2b-f902fd0ccc8d,power,corrupt,200,,,,
2026-03-18T14:46:46.269774200+00:00,recovery,1e91278c-8e9c-4977-9b2b-f902fd0ccc8d,,,,power,73.5,false,
2026-03-18T14:47:46.006886900+00:00,inject,b46bf022-ca8e-4e75-8c20-093f37b7a8dc,attitude,pause,150,,,,
2026-03-18T14:47:46.327556+00:00,recovery,b46bf022-ca8e-4e75-8c20-093f37b7a8dc,,,,attitude,168.6,false,
2026-03-18T14:48:46.025831500+00:00,inject,3b2917cb-d0ed-48e9-a2d2-09f11ad5bc75,thermal,delay,150,,,,
2026-03-18T14:48:46.219958+00:00,recovery,3b2917cb-d0ed-48e9-a2d2-09f11ad5bc75,,,,thermal,42.5,false,
2026-03-18T14:49:46.036275100+00:00,inject,1cba8ab0-3b37-4f89-a090-efc3303b806b,power,corrupt,200,,,,
2026-03-18T14:49:46.304760600+00:00,recovery,1cba8ab0-3b37-4f89-a090-efc3303b806b,,,,power,55.1,false,
2026-03-18T14:50:46.057288600+00:00,inject,1c13bf46-a43a-431b-a1ec-70a4b2d393ee,attitude,pause,150,,,,
2026-03-18T14:50:46.353537400+00:00,recovery,1c13bf46-a43a-431b-a1ec-70a4b2d393ee,,,,attitude,145.2,false,
2026-03-18T14:51:46.062448200+00:00,inject,3e5e9e92-fad3-42d9-936a-155e724e738d,thermal,delay,150,,,,
