ts,event_type,interlock_id,activation_reason,fault_id,fault_type,activated_at,released_at,activation_latency_ms,total_active_ms
2026-03-20T18:33:45.990397+00:00,released,emergency_loss_of_contact,Emergency: Complete Loss Of Satellite Contact,CommunicationLoss_c208f3ebaeb9fe54,CommunicationLoss;NetworkError,2026-03-20T18:33:45.865914600+00:00,2026-03-20T18:33:45.990124300+00:00,0.010,124.209
2026-03-20T18:33:47.200241900+00:00,activated,emergency_loss_of_contact,Emergency: Complete Loss Of Satellite Contact,CommunicationLoss_c208f3ebaeb9fe54,CommunicationLoss;NetworkError,2026-03-20T18:33:47.199541100+00:00,,0.009,
2026-03-20T18:33:47.266141400+00:00,released,emergency_loss_of_contact,Emergency: Complete Loss Of Satellite Contact,CommunicationLoss_c208f3ebaeb9fe54,CommunicationLoss;NetworkError,2026-03-20T18:33:47.199541100+00:00,2026-03-20T18:33:47.265819600+00:00,0.009,66.278
2026-03-20T18:33:47.817719100+00:00,activated,emergency_loss_of_contact,Emergency: Complete Loss Of Satellite Contact,CommunicationLoss_c208f3ebaeb9fe54,CommunicationLoss;NetworkError,2026-03-20T18:33:47.817268300+00:00,,0.009,
2026-03-20T18:33:47.933276200+00:00,released,emergency_loss_of_contact,Emergency: Complete Loss Of Satellite Contact,CommunicationLoss_c208f3ebaeb9fe54,CommunicationLoss;NetworkError,2026-03-20T18:33:47.817268300+00:00,2026-03-20T18:33:47.932955300+00:00,0.009,115.687
2026-03-20T18:33:48.523018400+00:00,activated,telemetry_data_unreliable,Telemetry Unreliable - Commands Requiring Sensor State Blocked: Critical Condition Detected In Power Sensor 2: 0.00,TelemetryError_b3743567101a17de,TelemetryError;SensorFailure,2026-03-20T18:33:48.522227700+00:00,,42.093,
2026-03-20T18:33:48.587845100+00:00,activated,telemetry_data_unreliable,Telemetry Unreliable - Commands Requiring Sensor State Blocked: Critical Condition Detected In Power Sensor 2: 0.00,TelemetryError_b3743567101a17de,TelemetryError;SensorFailure,2026-03-20T18:33:48.587170500+00:00,,7.031,
2026-03-20T18:33:48.683009500+00:00,activated,telemetry_data_unreliable,Telemetry Unreliable - Commands Requiring Sensor State Blocked: Critical Condition Detected In Power Sensor 2: 0.00,TelemetryError_b3743567101a17de,TelemetryError;SensorFailure,2026-03-20T18:33:48.682574800+00:00,,2.429,
2026-03-20T18:33:48.784269300+00:00,activated,telemetry_data_unreliable,Telemetry Unreliable - Commands Requiring Sensor State Blocked: Critical Condition Detected In Power Sensor 2: 0.00,TelemetryError_b3743567101a17de,TelemetryError;SensorFailure,2026-03-20T18:33:48.783822200+00:00,,3.671,
2026-03-20T18:33:48.884602500+00:00,activated,telemetry_data_unreliable,Telemetry Unreliable - Commands Requiring Sensor State Blocked: Critical Condition Detected In Power Sensor 2: 0.00,TelemetryError_b3743567101a17de,TelemetryError;SensorFailure,2026-03-20T18:33:48.884095500+00:00,,3.937,
2026-03-20T18:33:48.995555200+00:00,activated,telemetry_data_unreliable,Telemetry Unreliable - Commands Requiring Sensor State Blocked: Critical Condition Detected In Power Sensor 2: 0.00,TelemetryError_b3743567101a17de,TelemetryError;SensorFailure,2026-03-20T18:33:48.994954700+00:00,,14.790,
2026-03-20T18:33:49.084826900+00:00,activated,telemetry_data_unreliable,Telemetry Unreliable - Commands Requiring Sensor State Blocked: Critical Condition Detected In Power Sensor 2: 0.00,TelemetryError_b3743567101a17de,TelemetryError;SensorFailure,2026-03-20T18:33:49.084425900+00:00,,4.255,
2026-03-20T18:33:49.184858+00:00,activated,telemetry_data_unreliable,Telemetry Unreliable - Commands Requiring Sensor State Blocked: Critical Condition Detected In Power Sensor 2: 0.00,TelemetryError_b3743567101a17de,TelemetryError;SensorFailure,2026-03-20T18:33:49.184447800+00:00,,4.272,
2026-03-20T18:33:49.813246500+00:00,activated,emergency_loss_of_contact,Emergency: Complete Loss Of Satellite Contact,CommunicationLoss_c208f3ebaeb9fe54,CommunicationLoss;NetworkError,2026-03-20T18:33:49.812674300+00:00,,0.010,
2026-03-20T18:33:49.890145900+00:00,released,emergency_loss_of_contact,Emergency: Complete Loss Of Satellite Contact,CommunicationLoss_c208f3ebaeb9fe54,CommunicationLoss;NetworkError,2026-03-20T18:33:49.812674300+00:00,2026-03-20T18:33:49.889833600+00:00,0.010,77.159
2026-03-20T18:33:51.064208100+00:00,activated,emergency_loss_of_contact,Emergency: Complete Loss Of Satellite Contact,CommunicationLoss_c208f3ebaeb9fe54,CommunicationLoss;NetworkError,2026-03-20T18:33:51.063726200+00:00,,0.009,
2026-03-20T18:33:51.183930100+00:00,released,emergency_loss_of_contact,Emergency: Complete Loss Of Satellite Contact,CommunicationLoss_c208f3ebaeb9fe54,CommunicationLoss;NetworkError,2026-03-20T18:33:51.063726200+00:00,2026-03-20T18:33:51.183631400+00:00,0.009,119.905
2026-03-20T18:33:51.800056200+00:00,activated,emergency_loss_of_contact,Emergency: Complete Loss Of Satellite Contact,CommunicationLoss_c208f3ebaeb9fe54,CommunicationLoss;NetworkError,2026-03-20T18:33:51.799628700+00:00,,0.008,
2026-03-20T18:33:51.831290400+00:00,released,emergency_loss_of_contact,Emergency: Complete Loss Of Satellite Contact,CommunicationLoss_c208f3ebaeb9fe54,CommunicationLoss;NetworkError,2026-03-20T18:33:51.799628700+00:00,2026-03-20T18:33:51.831063800+00:00,0.008,31.435
2026-03-20T18:33:53.026151800+00:00,activated,emergency_loss_of_contact,Emergency: Complete Loss Of Satellite Contact,CommunicationLoss_c208f3ebaeb9fe54,CommunicationLoss;NetworkError,2026-03-20T18:33:53.025696200+00:00,,0.018,
2026-03-20T18:33:53.268401900+00:00,released,emergency_loss_of_contact,Emergency: Complete Loss Of Satellite Contact,CommunicationLoss_c208f3ebaeb9fe54,CommunicationLoss;NetworkError,2026-03-20T18:33:53.025696200+00:00,2026-03-20T18:33:53.268100900+00:00,0.018,242.404
2026-03-20T18:33:55.032708100+00:00,activated,emergency_loss_of_contact,Emergency: Complete Loss Of Satellite Contact,CommunicationLoss_c208f3ebaeb9fe54,CommunicationLoss;NetworkError,2026-03-20T18:33:55.032287600+00:00,,0.009,
2026-03-20T18:33:55.084803400+00:00,released,emergency_loss_of_contact,Emergency: Complete Loss Of Satellite Contact,CommunicationLoss_c208f3ebaeb9fe54,CommunicationLoss;NetworkError,2026-03-20T18:33:55.032287600+00:00,2026-03-20T18:33:55.084552100+00:00,0.009,52.264
2026-03-20T18:33:56.269368900+00:00,activated,emergency_loss_of_contact,Emergency: Complete Loss Of Satellite Contact,CommunicationLoss_c208f3ebaeb9fe54,CommunicationLoss;NetworkError,2026-03-20T18:33:56.268699900+00:00,,0.009,
2026-03-20T18:33:56.299011300+00:00,released,emergency_loss_of_contact,Emergency: Complete Loss Of Satellite Contact,CommunicationLoss_c208f3ebaeb9fe54,CommunicationLoss;NetworkError,2026-03-20T18:33:56.268699900+00:00,2026-03-20T18:33:56.298803800+00:00,0.009,30.103
2026-03-20T18:33:56.915068800+00:00,activated,emergency_loss_of_contact,Emergency: Complete Loss Of Satellite Contact,CommunicationLoss_c208f3ebaeb9fe54,CommunicationLoss;NetworkError,2026-03-20T18:33:56.914489800+00:00,,0.016,
2026-03-20T18:33:57.034026900+00:00,released,emergency_loss_of_contact,Emergency: Complete Loss Of Satellite Contact,CommunicationLoss_c208f3ebaeb9fe54,CommunicationLoss;NetworkError,2026-03-20T18:33:56.914489800+00:00,2026-03-20T18:33:57.033712200+00:00,0.016,119.222
2026-03-20T18:33:58.611460400+00:00,activated,telemetry_data_unreliable,Telemetry Unreliable - Commands Requiring Sensor State Blocked: Critical Condition Detected In Power Sensor 2: 0.00,TelemetryError_b3743567101a17de,TelemetryError;SensorFailure,2026-03-20T18:33:58.610640+00:00,,6.154,
2026-03-20T18:33:58.708598100+00:00,activated,telemetry_data_unreliable,Telemetry Unreliable - Commands Requiring Sensor State Blocked: Critical Condition Detected In Power Sensor 2: 0.00,TelemetryError_b3743567101a17de,TelemetryError;SensorFailure,2026-03-20T18:33:58.708171600+00:00,,3.675,
2026-03-20T18:33:58.817397300+00:00,activated,telemetry_data_unreliable,Telemetry Unreliable - Commands Requiring Sensor State Blocked: Critical Condition Detected In Power Sensor 2: 0.00,TelemetryError_b3743567101a17de,TelemetryError;SensorFailure,2026-03-20T18:33:58.814230800+00:00,,9.733,
2026-03-20T18:33:58.932401700+00:00,activated,telemetry_data_unreliable,Telemetry Unreliable - Commands Requiring Sensor State Blocked: Critical Condition Detected In Power Sensor 2: 0.00,TelemetryError_b3743567101a17de,TelemetryError;SensorFailure,2026-03-20T18:33:58.930875400+00:00,,26.304,
2026-03-20T18:33:59.052137300+00:00,activated,telemetry_data_unreliable,Telemetry Unreliable - Commands Requiring Sensor State Blocked: Critical Condition Detected In Power Sensor 2: 0.00,TelemetryError_b3743567101a17de,TelemetryError;SensorFailure,2026-03-20T18:33:59.051612400+00:00,,47.045,
2026-03-20T18:33:59.121927900+00:00,activated,telemetry_data_unreliable,Telemetry Unreliable - Commands Requiring Sensor State Blocked: Critical Condition Detected In Power Sensor 2: 0.00,TelemetryError_b3743567101a17de,TelemetryError;SensorFailure,2026-03-20T18:33:59.121035200+00:00,,16.487,
2026-03-20T18:33:59.215598700+00:00,activated,telemetry_data_unreliable,Telemetry Unreliable - Commands Requiring Sensor State Blocked: Critical Condition Detected In Power Sensor 2: 0.00,TelemetryError_b3743567101a17de,TelemetryError;SensorFailure,2026-03-20T18:33:59.214200800+00:00,,9.648,
2026-03-20T18:34:00.166670400+00:00,activated,emergency_loss_of_contact,Emergency: Complete Loss Of Satellite Contact,CommunicationLoss_c208f3ebaeb9fe54,CommunicationLoss;NetworkError,2026-03-20T18:34:00.166153500+00:00,,0.009,
2026-03-20T18:34:00.268900500+00:00,released,emergency_loss_of_contact,Emergency: Complete Loss Of Satellite Contact,CommunicationLoss_c208f3ebaeb9fe54,CommunicationLoss;NetworkError,2026-03-20T18:34:00.166153500+00:00,2026-03-20T18:34:00.268560200+00:00,0.009,102.406
2026-03-20T18:34:00.814889+00:00,activated,emergency_loss_of_contact,Emergency: Complete Loss Of Satellite Contact,CommunicationLoss_c208f3ebaeb9fe54,CommunicationLoss;NetworkError,2026-03-20T18:34:00.814365500+00:00,,0.009,
2026-03-20T18:34:00.931819100+00:00,released,emergency_loss_of_contact,Emergency: Complete Loss Of Satellite Contact,CommunicationLoss_c208f3ebaeb9fe54,CommunicationLoss;NetworkError,2026-03-20T18:34:00.814365500+00:00,2026-03-20T18:34:00.931490300+00:00,0.009,117.124
2026-03-20T18:34:02.132050500+00:00,activated,emergency_loss_of_contact,Emergency: Complete Loss Of Satellite Contact,CommunicationLoss_c208f3ebaeb9fe54,CommunicationLoss;NetworkError,2026-03-20T18:34:02.131638200+00:00,,0.010,
